playlist_id,playlist_name,playlist_type,created_date
79,Weekend Playlist,Collaborative,2020-12-16
80,Study Mix,Collaborative,2023-10-13
81,Road Trip Collection,Public,2026-08-04
82,Favorites,Private,2022-08-17
83,Fresh,Collaborative,2021-10-10
84,Road Trip Playlist,Private,2023-11-28
85,Fresh Mix,Private,2022-05-02
86,Party Collection,,2026-04-20
87,Favorites Mix,Public,2024-06-09
88,Workout Collection,,2023-04-12
89,Fresh Mix,Collaborative,2024-05-14
90,Travel Collection,Collaborative,2021-07-13
91,Party Collection,,2025-09-06
92,Energy Mix,Private,2024-08-07
93,Travel,,2022-11-18
94,Fresh Collection,,2024-12-21
95,Morning Collection,Private,2022-08-05
96,Focus Hits,Collaborative,2026-07-14
97,Road Trip Mix,Private,2026-07-09
98,Relaxing Vibes,Private,2022-11-20
99,Focus Playlist,Private,2020-03-07
100,Morning Hits,Collaborative,2023-08-18
101,Late Night Playlist,Public,2021-03-09
102,Chill Mix,Collaborative,2026-05-22
103,Weekend Hits,Public,2025-08-26
104,Morning Mix,Public,2022-10-10
105,Relaxing Mix,,2022-11-22
106,Energy Mix,,2026-12-27
107,Chill Hits,Public,2024-12-17
108,Energy Mix,Collaborative,2023-02-08
109,Study Mix,Collaborative,2022-10-24
110,Late Night,Private,2023-04-05
111,Workout Hits,Private,2022-08-14
112,Party Collection,Public,2023-09-12
113,Favorites Mix,Collaborative,2024-07-16
114,Travel Hits,Collaborative,2026-03-12
115,Discover,Collaborative,2026-05-01
116,Travel Collection,Public,2026-12-22
117,Fresh Mix,Private,2022-09-13
118,Party,Collaborative,2026-11-04
119,Weekend Hits,,2023-01-13
120,Energy Vibes,Collaborative,2020-04-10
121,Focus Hits,,2025-06-26
122,Fresh,,2026-01-09
123,Relaxing Mix,,2023-12-14
124,Energy Vibes,,2026-02-27
125,Chill,Collaborative,2024-02-12
126,Late Night Collection,Collaborative,2023-12-01
127,Fresh Mix,Private,2025-08-26
128,Travel Hits,Public,2023-04-21
129,Party Vibes,Public,2020-03-08
130,Weekend,Private,2026-10-22
131,Late Night Vibes,,2023-12-05
132,Party Hits,Collaborative,2026-05-07
133,Workout Playlist,Collaborative,2021-07-13
134,Relaxing Collection,Private,2020-01-18
135,Travel Collection,Private,2020-08-07
136,Party,Private,2020-07-20
137,Late Night Collection,Collaborative,2021-02-12
138,Chill Collection,Public,2020-12-17
139,Late Night Playlist,,2020-04-23
140,Focus Hits,Collaborative,2022-12-16
141,Late Night Hits,,2026-04-20
142,Focus Vibes,Private,2023-03-14
143,Fresh Hits,Public,2022-05-08
144,Study Playlist,Private,2022-10-22
145,Travel Playlist,Public,2020-08-05
146,Relaxing Vibes,,2025-04-23
147,Late Night,,2025-10-09
148,Workout Mix,Public,2020-06-08
149,Discover Vibes,Public,2020-05-17
150,Study Playlist,Collaborative,2023-11-12
